SETT_DATE,SETT_PERIOD,Energy Imbalance (MWh),Frequency Control Offers (MWh),Frequency Control Bids (MWh),Positive Reserve (MWh),Constraint Offers (MWh),Constraint Bids (MWh),Negative Reserve (MWh),Other (MWh)
2022-04-01,1,-127.292,10.758,-131.391,126.95,0.0,0.0,0.0,-133.609
2022-04-01,2,-141.153,0.597,-117.008,115.0,0.0,0.0,0.0,-139.742
2022-04-01,3,-102.424,0.0,-110.074,115.0,0.0,0.0,0.0,-107.35
2022-04-01,4,-193.576,0.0,-33.525,121.85,0.0,0.0,0.0,-281.901
2022-04-01,5,-86.985,27.125,-205.591,180.75,0.0,0.0,0.0,-89.269
2022-04-01,6,-6.702,68.351,-164.792,133.0,0.0,0.0,0.0,-43.261
2022-04-01,7,321.298,157.4,-15.774,124.917,0.0,0.0,0.0,54.755
2022-04-01,8,526.05,197.25,0.0,226.633,0.0,0.0,0.0,102.167
2022-04-01,9,525.3,242.5,-52.5,207.0,0.0,0.0,0.0,128.3
2022-04-01,10,426.756,253.372,-52.5,211.492,0.0,0.0,0.0,14.392
2022-04-01,11,256.433,109.757,-163.729,315.655,0.0,0.0,0.0,-5.25
2022-04-01,12,224.196,25.217,-119.323,409.208,0.0,0.0,0.0,-90.906
2022-04-01,13,398.508,24.5,-9.063,435.067,0.0,0.0,0.0,-51.996
2022-04-01,14,149.47,25.005,-101.579,466.116,0.0,0.0,0.0,-240.072
2022-04-01,15,362.771,15.733,-128.841,488.958,0.0,0.0,0.0,-13.079
2022-04-01,16,626.822,6.919,-60.083,578.45,0.0,0.0,0.0,101.536
2022-04-01,17,1115.24,111.156,-1.183,852.99,0.0,0.0,0.0,152.277
2022-04-01,18,604.606,3.935,-68.533,655.517,0.0,0.0,0.0,13.687
2022-04-01,19,-5.364,0.0,-88.042,548.984,0.0,0.0,0.0,-466.306
2022-04-01,20,379.577,0.0,-92.638,580.5,0.0,0.0,0.0,-108.285
2022-04-01,21,274.754,0.0,-129.042,568.0,0.0,0.0,0.0,-164.204
2022-04-01,22,218.145,0.0,-190.909,580.5,0.0,0.0,0.0,-171.446
2022-04-01,23,268.112,0.0,-208.939,633.0,0.0,0.0,0.0,-155.949
2022-04-01,24,203.37,0.0,-214.897,569.283,0.0,0.0,0.0,-151.016
2022-04-01,25,737.871,40.167,-111.004,832.683,0.0,0.0,0.0,-23.975
2022-04-01,26,593.25,0.0,-49.508,671.283,0.0,0.0,0.0,-28.525
2022-04-01,27,422.777,0.0,-48.516,601.75,0.0,0.0,0.0,-130.457
2022-04-01,28,110.557,0.0,-57.5,590.5,0.0,0.0,0.0,-422.443
2022-04-01,29,43.863,0.0,-104.017,568.0,0.0,0.0,0.0,-420.12
2022-04-01,30,-226.85,0.0,-81.382,605.5,0.0,0.0,0.0,-750.968
2022-04-01,31,-515.178,0.0,-134.667,568.0,0.0,0.0,0.0,-948.511
2022-04-01,32,-491.246,0.0,-81.105,523.6,0.0,0.0,0.0,-933.741
2022-04-01,33,-211.183,8.0,-4.229,408.859,0.0,0.0,0.0,-623.813
2022-04-01,34,-318.634,13.073,0.0,263.017,0.0,0.0,0.0,-594.724
2022-04-01,35,-198.35,0.0,0.0,275.1,0.0,0.0,0.0,-473.45
2022-04-01,36,-103.87,0.0,-64.192,234.667,0.0,0.0,0.0,-274.345
2022-04-01,37,-164.922,0.0,-107.922,124.0,0.0,0.0,0.0,-181.0
2022-04-01,38,139.049,0.0,-19.842,145.083,0.0,0.0,0.0,13.808
2022-04-01,39,-46.297,0.0,-67.296,29.45,0.0,0.0,0.0,-8.451
2022-04-01,40,173.067,0.0,-64.516,188.766,0.0,0.0,0.0,48.817
2022-04-01,41,52.447,7.9,-73.142,67.648,0.0,0.0,0.0,50.041
2022-04-01,42,-110.835,0.0,-108.508,36.277,0.0,0.0,0.0,-38.604
2022-04-01,43,-46.767,0.0,-217.808,40.0,0.0,0.0,0.0,131.041
2022-04-01,44,-265.16,9.0,-312.516,46.75,0.0,0.0,0.0,-8.394
2022-04-01,45,-81.873,15.0,-81.135,24.25,0.0,0.0,0.0,-39.988
2022-04-01,46,88.808,45.409,-64.532,94.081,0.0,0.0,0.0,13.85
2022-04-01,47,243.443,42.967,-57.663,290.139,0.0,0.0,0.0,-32.0
2022-04-01,48,556.426,204.021,-38.375,393.33,0.0,0.0,0.0,-2.55
2022-04-02,1,454.943,0.0,-48.508,540.876,0.0,0.0,0.0,-37.425
2022-04-02,2,251.717,0.0,-78.055,505.167,0.0,0.0,0.0,-175.395
2022-04-02,3,-29.145,0.0,-347.536,498.75,0.0,0.0,0.0,-180.359
2022-04-02,4,310.811,12.0,-149.276,473.884,0.0,0.0,0.0,-25.797
2022-04-02,5,234.341,0.0,-98.742,350.0,0.0,0.0,0.0,-16.917
2022-04-02,6,68.791,3.667,-195.959,296.083,0.0,0.0,0.0,-35.0
2022-04-02,7,-29.066,0.0,-245.897,285.0,0.0,0.0,0.0,-68.169
