SETT_DATE,SETT_PERIOD,Energy Imbalance (MWh),Frequency Control Offers (MWh),Frequency Control Bids (MWh),Positive Reserve (MWh),Constraint Offers (MWh),Constraint Bids (MWh),Negative Reserve (MWh),Other (MWh)
2019-04-01,1,86.79,0.0,-259.61,500.0,330.0,-422.5,-5.0,-56.1
2019-04-01,2,-20.705,0.0,-174.083,384.233,288.583,-422.5,-5.0,-91.938
2019-04-01,3,-238.073,1.667,-165.0,242.917,268.75,-507.5,-5.0,-73.907
2019-04-01,4,0.223,129.758,-142.449,265.417,275.989,-507.5,-1.592,-19.4
2019-04-01,5,124.326,108.873,-80.556,277.917,280.592,-462.5,0.0,0.0
2019-04-01,6,136.917,125.0,-102.483,297.5,279.4,-462.5,0.0,0.0
2019-04-01,7,21.012,68.75,-156.571,297.5,273.833,-462.5,0.0,0.0
2019-04-01,8,187.788,150.787,-103.107,297.442,305.166,-462.5,0.0,0.0
2019-04-01,9,319.242,148.991,-113.333,311.667,299.417,-327.5,0.0,0.0
2019-04-01,10,254.852,125.0,-84.917,244.727,293.375,-327.5,0.0,4.167
2019-04-01,11,492.26,125.0,-85.0,310.776,359.817,-222.5,0.0,4.167
2019-04-01,12,366.675,165.575,-74.275,229.151,268.724,-222.5,0.0,0.0
2019-04-01,13,0.167,20.787,-76.817,307.308,12.813,-187.083,0.0,-76.841
2019-04-01,14,-140.534,10.959,-251.694,327.047,0.0,-177.5,0.0,-49.346
2019-04-01,15,-527.203,0.0,-326.126,110.433,0.0,0.0,0.0,-311.51
2019-04-01,16,-57.728,0.0,-107.507,135.2,0.0,-25.925,0.0,-59.496
2019-04-01,17,-21.068,8.0,-74.54,172.499,0.0,-36.942,-43.25,-46.835
2019-04-01,18,-118.425,17.8,-115.06,125.975,0.0,-37.017,0.0,-110.123
2019-04-01,19,-179.165,4.239,-147.058,23.908,0.0,0.0,0.0,-60.254
2019-04-01,20,-365.072,0.0,-150.906,0.0,0.0,-3.333,0.0,-210.833
2019-04-01,21,-489.989,5.733,-202.66,12.25,0.0,-41.875,0.0,-263.437
2019-04-01,22,-124.017,54.435,-30.493,7.933,0.0,-153.825,0.0,-2.067
2019-04-01,23,212.368,221.692,0.0,0.0,0.0,-193.607,0.0,184.283
2019-04-01,24,171.685,224.417,0.0,0.0,0.0,-352.058,0.0,299.326
2019-04-01,25,94.342,176.875,0.0,0.0,0.0,-481.267,0.0,398.734
2019-04-01,26,-47.344,124.633,0.0,0.0,0.0,-486.709,0.0,314.732
2019-04-01,27,-129.812,133.293,0.0,0.0,0.0,-440.5,0.0,177.395
2019-04-01,28,-243.363,120.833,0.0,0.0,0.0,-477.5,0.0,113.304
2019-04-01,29,-335.823,88.85,0.0,0.0,0.0,-477.0,0.0,52.327
2019-04-01,30,-380.209,23.875,0.0,0.0,0.0,-470.667,0.0,66.583
2019-04-01,31,-366.74,87.968,-22.208,9.0,0.0,-471.0,0.0,29.5
2019-04-01,32,-113.023,251.992,-0.083,38.325,0.0,-456.917,0.0,53.66
2019-04-01,33,-155.776,116.108,0.0,21.625,0.0,-443.917,0.0,150.408
2019-04-01,34,-119.301,139.304,-6.023,31.875,0.0,-445.166,0.0,160.709
2019-04-01,35,-429.407,16.225,-68.985,59.831,0.0,-419.383,0.0,-17.095
2019-04-01,36,-131.793,96.899,-66.0,290.152,0.0,-472.678,0.0,19.834
2019-04-01,37,-62.74,25.733,-59.0,356.764,0.0,-379.32,0.0,-6.917
2019-04-01,38,8.71,0.75,-70.661,522.938,0.0,-401.34,0.0,-42.977
2019-04-01,39,48.765,14.283,-50.25,540.542,0.0,-434.012,0.0,-21.798
2019-04-01,40,4.509,25.208,-10.2,438.763,0.0,-420.512,0.0,-28.75
2019-04-01,41,5.493,14.042,0.0,457.538,0.0,-464.837,0.0,-1.25
2019-04-01,42,-5.3,14.506,0.0,400.533,0.0,-431.059,0.0,10.72
2019-04-01,43,-31.973,26.0,-69.367,529.5,0.0,-351.167,0.0,-166.939
2019-04-01,44,-287.735,6.496,-150.923,491.429,0.0,-289.393,0.0,-345.344
2019-04-01,45,-120.781,0.87,-95.128,313.221,0.0,-288.421,-21.525,-29.798
2019-04-01,46,-410.927,0.0,-220.983,300.708,0.0,-361.587,0.0,-129.065
2019-04-01,47,-1.289,65.034,-17.792,232.338,0.0,-257.917,-50.0,27.048
2019-04-01,48,53.821,132.303,-3.735,203.303,0.0,-237.917,-50.0,9.867
2019-04-02,1,-237.423,12.0,-37.375,191.129,0.0,-193.0,-50.0,-160.177
2019-04-02,2,-144.454,1.4,-43.064,118.767,0.0,-193.0,-50.0,21.443
2019-04-02,3,82.757,117.696,0.0,197.622,0.0,-193.0,-50.0,10.439
2019-04-02,4,335.368,181.167,0.0,260.267,0.0,-193.0,-50.0,136.934
2019-04-02,5,384.779,381.572,0.0,169.455,0.0,-193.0,-50.0,76.752
2019-04-02,6,232.878,300.503,0.0,141.247,0.0,-193.0,-50.0,34.128
2019-04-02,7,292.228,172.284,-35.383,396.702,0.0,-193.0,-50.0,1.625
2019-04-02,8,165.982,7.292,-168.417,589.101,0.0,-193.0,-50.0,-18.994
2019-04-02,9,58.861,0.0,-334.639,636.5,0.0,-193.0,-50.0,0.0
2019-04-02,10,-66.325,0.0,-458.917,636.867,0.0,-193.0,-50.0,-1.275
2019-04-02,11,-373.448,0.0,-663.122,567.534,0.0,-138.0,0.0,-139.86
2019-04-02,12,-193.077,0.0,-484.559,504.433,0.0,0.0,0.0,-212.951
2019-04-02,13,118.813,16.45,-109.947,259.349,0.0,0.0,0.0,-47.039
2019-04-02,14,7.143,8.179,-164.755,217.5,0.0,0.0,-46.433,-7.348
2019-04-02,15,-326.108,16.184,-331.001,337.5,0.0,0.0,0.0,-348.791
2019-04-02,16,-223.512,3.75,-216.515,375.0,0.0,0.0,0.0,-385.747
2019-04-02,17,-197.235,9.0,-283.652,357.25,0.0,0.0,-10.933,-268.9
2019-04-02,18,-229.453,0.0,-349.393,366.25,0.0,0.0,0.0,-246.31
2019-04-02,19,-50.237,7.333,-194.232,327.6,0.0,0.0,0.0,-190.938
2019-04-02,20,-84.173,2.408,-219.209,310.85,0.0,0.0,-10.0,-168.222
2019-04-02,21,-21.507,2.125,-182.252,191.083,0.0,0.0,0.0,-32.463
2019-04-02,22,24.94,0.0,-133.807,194.13,0.0,0.0,0.0,-35.383
2019-04-02,23,100.187,9.434,-97.968,148.33,0.0,0.0,0.0,40.391
2019-04-02,24,13.141,115.367,-194.525,41.966,0.0,0.0,0.0,50.333
2019-04-02,25,134.7,141.915,-158.483,103.641,0.0,0.0,0.0,47.627
2019-04-02,26,13.513,112.16,-177.807,26.591,0.0,0.0,0.0,52.569
2019-04-02,27,-278.661,50.938,-198.714,0.0,0.0,0.0,0.0,-130.885
2019-04-02,28,-469.728,0.0,-209.596,0.0,0.0,0.0,-0.251,-259.881
2019-04-02,29,-401.5,6.0,-174.437,0.0,0.0,0.0,0.0,-233.063
2019-04-02,30,-589.616,0.0,-367.836,0.0,0.0,0.0,0.0,-221.78
2019-04-02,31,-727.033,10.934,-252.673,15.139,0.0,0.0,0.0,-500.433
2019-04-02,32,-528.247,4.894,-210.015,62.318,0.0,0.0,0.0,-385.444
2019-04-02,33,-672.697,30.7,-277.226,201.821,0.0,0.0,0.0,-627.992
2019-04-02,34,-286.801,39.075,-300.086,182.524,0.0,0.0,0.0,-208.314
2019-04-02,35,-423.05,5.341,-452.624,255.4,0.0,0.0,0.0,-231.167
2019-04-02,36,-323.667,0.0,-466.533,376.833,0.0,-65.667,0.0,-168.3
2019-04-02,37,-556.407,10.0,-473.284,439.0,0.0,-167.5,0.0,-364.623
2019-04-02,38,-461.684,0.0,-581.517,460.0,0.0,-192.5,0.0,-147.667
2019-04-02,39,-434.481,8.25,-516.737,473.192,0.0,-263.825,0.0,-135.361
2019-04-02,40,-227.871,8.25,-226.408,485.992,0.0,-296.6,0.0,-199.105
2019-04-02,41,-42.869,0.0,-66.136,445.426,0.0,-344.883,0.0,-77.276
2019-04-02,42,-114.121,0.0,-85.381,439.428,0.0,-433.267,0.0,-34.901
2019-04-02,43,-141.144,53.617,-160.36,577.6,0.0,-511.916,0.0,-100.085
2019-04-02,44,-653.958,0.042,-205.561,561.308,0.0,-619.838,0.0,-389.909
2019-04-02,45,-435.205,9.25,-142.009,503.234,0.0,-700.3,0.0,-105.38
2019-04-02,46,-34.149,39.333,-109.084,837.357,0.0,-727.674,0.0,-74.081
2019-04-02,47,275.848,67.74,-51.555,1255.9,0.0,-938.567,0.0,-57.67
2019-04-02,48,199.447,26.05,0.0,1158.654,0.0,-1001.514,0.0,16.257
2019-04-03,1,-132.392,0.0,-31.133,1001.214,44.267,-1136.448,0.0,-10.292
2019-04-03,2,-102.012,31.213,-27.263,902.317,109.5,-1151.174,0.0,33.395
2019-04-03,3,-206.86,32.479,-40.231,809.533,109.5,-1164.866,0.0,46.725
2019-04-03,4,-174.209,83.611,-7.234,872.255,109.5,-1235.083,0.0,2.742
2019-04-03,5,-116.288,180.413,0.0,914.622,109.5,-1388.957,-15.108,83.242
2019-04-03,6,-317.78,96.626,0.0,822.58,109.5,-1433.3,0.0,86.814
2019-04-03,7,-228.466,306.653,0.0,854.777,109.5,-1558.979,0.0,59.583
2019-04-03,8,-480.105,376.614,0.0,867.927,109.5,-1912.627,0.0,78.481
2019-04-03,9,-209.982,519.559,0.0,936.283,109.5,-1931.124,0.0,155.8
2019-04-03,10,-175.024,366.041,0.0,1061.069,123.327,-1869.424,0.0,143.963
2019-04-03,11,22.064,601.507,-4.396,1034.301,71.452,-1773.4,0.0,92.6
2019-04-03,12,-248.501,615.831,-15.625,944.394,30.808,-1945.552,0.0,121.643
2019-04-03,13,-210.77,462.363,-4.053,1075.843,0.0,-1932.198,0.0,187.275
2019-04-03,14,-122.566,395.417,-16.234,944.052,0.0,-1579.726,0.0,133.925
2019-04-03,15,30.005,96.98,0.0,1568.476,0.0,-1681.7,0.0,46.249
2019-04-03,16,304.403,50.734,-12.45,1733.025,0.0,-1572.271,0.0,105.365
2019-04-03,17,195.239,16.417,-94.749,1640.631,0.0,-1354.368,0.0,-12.692
2019-04-03,18,253.645,0.191,-113.145,1475.292,0.0,-1058.439,0.0,-50.254
2019-04-03,19,22.016,8.333,-126.602,1167.674,0.0,-840.952,0.0,-186.437
2019-04-03,20,317.226,78.466,-10.458,1124.723,0.0,-832.567,0.0,-42.938
2019-04-03,21,286.839,34.125,-46.521,1157.358,0.0,-813.657,0.0,-44.466
2019-04-03,22,471.004,104.71,-0.165,1002.341,0.0,-624.552,0.0,-11.33
2019-04-03,23,253.441,13.731,0.0,909.559,0.0,-465.3,0.0,-204.549
2019-04-03,24,223.177,47.317,-5.872,904.883,0.0,-451.983,-1.85,-269.318
2019-04-03,25,339.734,116.55,-31.007,859.274,0.0,-497.433,0.0,-107.65
2019-04-03,26,575.681,125.868,0.0,961.104,0.0,-487.825,0.0,-23.466
2019-04-03,27,471.037,41.913,-14.875,889.295,0.0,-509.775,0.0,64.479
2019-04-03,28,581.879,66.569,-24.292,901.169,0.0,-505.342,0.0,143.775
2019-04-03,29,569.567,115.125,0.0,906.034,0.0,-460.15,0.0,8.558
2019-04-03,30,414.865,135.909,-5.84,748.325,0.0,-366.325,0.0,-97.204
2019-04-03,31,141.397,19.033,-140.348,978.542,0.0,-408.682,-4.1,-303.048
2019-04-03,32,229.36,0.0,-75.111,890.042,0.0,-429.277,0.0,-156.294
2019-04-03,33,137.178,16.066,-26.453,630.1,0.0,-360.1,0.0,-122.435
2019-04-03,34,108.613,1.0,-58.5,523.846,0.0,-318.508,0.0,-39.225
2019-04-03,35,141.738,1.0,-51.301,550.83,0.0,-321.495,-7.5,-29.796
2019-04-03,36,-102.679,0.0,-110.45,545.063,0.0,-323.351,0.0,-213.941
2019-04-03,37,-172.477,0.0,-148.348,537.075,0.0,-390.723,0.0,-170.481
2019-04-03,38,194.547,9.542,-98.25,695.885,0.0,-385.56,0.0,-27.07
2019-04-03,39,207.693,0.0,-100.258,688.935,0.0,-330.384,0.0,-50.6
2019-04-03,40,300.858,2.25,-199.339,698.407,0.0,-137.083,0.0,-63.377
2019-04-03,41,555.124,20.75,-154.9,781.622,0.0,-81.023,0.0,-11.325
2019-04-03,42,73.606,0.0,-94.0,558.6,0.0,-11.5,0.0,-379.494
2019-04-03,43,483.302,12.0,-88.947,620.539,0.0,-11.5,0.0,-48.79
2019-04-03,44,-73.521,17.0,-306.368,447.375,0.0,-11.5,0.0,-220.028
2019-04-03,45,-27.977,28.0,-153.122,358.792,0.0,0.0,0.0,-261.647
2019-04-03,46,-157.566,22.734,-166.47,479.561,0.0,0.0,0.0,-493.391
2019-04-03,47,186.029,0.0,-199.829,713.595,0.0,-165.5,0.0,-162.237
2019-04-03,48,219.949,0.0,-223.526,663.5,0.0,-165.5,0.0,-54.525
2019-04-04,1,240.585,0.115,-70.867,592.116,0.0,-140.5,0.0,-140.279
2019-04-04,2,215.266,26.469,-45.327,480.657,0.0,-140.5,0.0,-106.033
2019-04-04,3,249.296,114.067,-10.908,449.719,0.0,-245.5,0.0,-58.082
2019-04-04,4,269.402,58.1,-28.358,442.993,0.0,-245.5,0.0,42.167
2019-04-04,5,251.727,72.423,-30.353,453.95,0.0,-245.5,-12.5,13.707
2019-04-04,6,154.68,70.714,-71.5,448.0,0.0,-245.5,-12.5,-34.534
2019-04-04,7,-18.925,12.024,-149.366,383.818,0.0,-245.5,-12.5,-7.401
2019-04-04,8,68.191,68.794,-123.52,369.167,0.0,-245.5,-12.5,11.75
2019-04-04,9,-6.681,3.773,-124.532,399.159,0.0,-220.5,-25.0,-39.581
2019-04-04,10,-103.314,45.667,-131.858,317.0,0.0,-220.5,-25.0,-88.623
2019-04-04,11,396.056,7.917,-56.792,805.135,0.0,-140.5,-50.0,-169.704
2019-04-04,12,237.292,1.25,-243.936,670.478,0.0,-140.5,-50.0,0.0
2019-04-04,13,364.532,0.0,-150.186,672.97,0.0,0.0,0.0,-158.252
2019-04-04,14,294.267,15.0,-263.242,872.313,0.0,0.0,0.0,-329.804
2019-04-04,15,221.625,22.75,-185.341,609.215,0.0,0.0,0.0,-224.999
2019-04-04,16,543.79,4.75,-186.394,816.277,0.0,0.0,-6.933,-83.91
2019-04-04,17,351.523,9.0,-290.829,899.414,0.0,0.0,-9.533,-256.529
2019-04-04,18,116.227,0.0,-432.003,891.925,0.0,0.0,-4.767,-338.928
2019-04-04,19,384.578,0.0,-237.539,868.75,0.0,0.0,0.0,-246.633
2019-04-04,20,202.673,0.0,-286.735,856.25,0.0,0.0,-2.0,-364.842
2019-04-04,21,156.113,23.517,-394.16,821.017,0.0,0.0,0.0,-294.261
2019-04-04,22,-44.352,18.367,-386.018,629.146,0.0,0.0,0.0,-305.847
2019-04-04,23,-129.22,2.275,-244.888,365.938,0.0,0.0,0.0,-252.545
2019-04-04,24,-290.968,0.0,-261.28,273.083,0.0,0.0,0.0,-302.771
2019-04-04,25,-173.592,26.0,-154.542,160.583,0.0,0.0,0.0,-205.633
2019-04-04,26,-307.379,0.0,-92.506,0.0,0.0,0.0,0.0,-214.873
2019-04-04,27,626.3,477.016,-3.451,10.0,0.0,0.0,0.0,142.735
2019-04-04,28,399.661,368.985,-1.115,15.0,0.0,0.0,0.0,16.791
2019-04-04,29,193.418,101.431,-20.263,0.0,0.0,0.0,0.0,112.25
2019-04-04,30,-57.225,49.308,-55.334,0.0,0.0,0.0,0.0,-51.199
2019-04-04,31,-30.067,68.483,-60.565,4.583,0.0,0.0,0.0,-42.568
