SETT_DATE,SETT_PERIOD,Energy Imbalance (MWh),Frequency Control Offers (MWh),Frequency Control Bids (MWh),Positive Reserve (MWh),Constraint Offers (MWh),Constraint Bids (MWh),Negative Reserve (MWh),Other (MWh)
2018-04-01,1,161.443,113.574,-39.766,46.383,120.0,-89.125,0.0,10.377
2018-04-01,2,142.246,172.556,-33.31,0.0,120.0,-117.0,0.0,0.0
2018-04-01,3,-91.012,83.318,-95.291,19.067,120.0,-186.792,0.0,-31.314
2018-04-01,4,9.978,86.767,-104.761,18.492,120.0,-187.5,0.0,76.98
2018-04-01,5,222.018,203.016,-82.008,34.2,120.0,-195.083,0.0,141.893
2018-04-01,6,385.583,361.0,-68.5,44.0,120.0,-212.917,0.0,142.0
2018-04-01,7,342.209,224.392,-39.1,44.0,120.0,-237.042,0.0,229.959
2018-04-01,8,291.708,109.9,0.0,44.0,120.0,-248.75,0.0,266.558
2018-04-01,9,316.476,40.0,0.0,44.0,120.0,-255.0,0.0,367.476
2018-04-01,10,220.868,15.333,0.0,14.533,120.0,-260.334,0.0,331.336
2018-04-01,11,298.473,32.55,-0.016,40.5,120.0,-270.5,0.0,375.939
2018-04-01,12,226.417,0.0,-24.701,141.542,120.0,-270.5,0.0,260.076
2018-04-01,13,244.903,149.69,-23.167,173.075,120.0,-265.0,0.0,90.305
2018-04-01,14,57.472,59.197,-28.709,184.786,120.0,-257.083,0.0,-20.719
2018-04-01,15,-151.581,115.282,-160.55,115.767,0.0,-199.433,0.0,-22.647
2018-04-01,16,150.723,388.338,-141.726,61.0,0.0,-115.267,0.0,-41.622
2018-04-01,17,160.447,400.126,-168.012,5.0,0.0,-76.667,0.0,0.0
2018-04-01,18,-12.607,87.764,0.0,3.125,0.0,-72.125,0.0,-31.371
2018-04-01,19,-353.431,34.397,-27.067,97.075,0.0,-44.994,0.0,-412.842
2018-04-01,20,-64.39,4.687,-151.8,100.323,0.0,-14.664,0.0,-2.936
2018-04-01,21,166.546,86.084,-88.432,109.781,0.0,-20.0,0.0,79.113
2018-04-01,22,380.491,55.2,0.0,301.415,0.0,-20.0,0.0,43.876
2018-04-01,23,317.616,58.25,0.0,275.633,0.0,-20.0,0.0,3.733
2018-04-01,24,256.792,0.0,0.0,268.25,0.0,-20.0,0.0,8.542
2018-04-01,25,234.116,10.0,-18.0,267.5,0.0,-19.5,0.0,-5.884
2018-04-01,26,189.593,0.0,-17.708,226.801,0.0,-19.5,0.0,0.0
2018-04-01,27,220.4,6.667,-14.017,247.25,0.0,-19.5,0.0,0.0
2018-04-01,28,76.858,0.0,-39.2,161.8,0.0,-19.5,0.0,-26.242
2018-04-01,29,81.858,10.0,-87.85,238.208,0.0,-19.0,0.0,-59.5
2018-04-01,30,78.509,0.0,-104.491,262.0,0.0,-19.5,0.0,-59.5
2018-04-01,31,63.092,18.5,-143.908,267.0,0.0,-19.5,0.0,-59.0
2018-04-01,32,49.759,13.0,-146.158,252.0,0.0,-19.5,0.0,-49.583
2018-04-01,33,110.51,8.0,-118.673,264.0,0.0,-19.5,0.0,-23.317
2018-04-01,34,134.288,0.0,-62.417,245.0,0.0,-19.5,0.0,-28.795
2018-04-01,35,-156.254,8.0,-45.825,115.0,0.0,-19.5,0.0,-213.929
2018-04-01,36,-405.75,0.0,-72.975,115.0,0.0,-19.5,-75.417,-352.858
2018-04-01,37,-330.586,10.0,-60.5,127.375,0.0,-19.5,0.0,-387.961
2018-04-01,38,-323.559,10.0,-76.25,115.0,0.0,-19.5,0.0,-352.809
2018-04-01,39,-86.009,0.0,-51.0,157.5,0.0,-19.5,0.0,-173.009
2018-04-01,40,42.761,0.0,-53.656,144.033,0.0,-13.975,0.0,-33.641
2018-04-01,41,-112.138,7.626,-56.69,165.395,0.0,0.0,-101.25,-127.219
2018-04-01,42,-380.906,0.0,-107.213,63.417,0.0,0.0,0.0,-337.11
2018-04-01,43,22.311,29.334,-21.133,75.0,0.0,0.0,0.0,-60.89
2018-04-01,44,149.619,55.0,-7.583,103.577,0.0,0.0,0.0,-1.375
2018-04-01,45,243.633,33.0,-56.291,176.283,0.0,-1.275,0.0,91.916
2018-04-01,46,441.288,10.0,-79.55,444.371,99.55,-34.108,0.0,1.025
2018-04-01,47,515.94,0.0,-115.329,575.751,130.0,-63.5,0.0,-10.982
2018-04-01,48,123.675,0.0,-238.069,407.169,130.0,-84.583,0.0,-90.842
2018-04-02,1,-79.687,0.0,-164.073,293.239,130.0,-222.5,0.0,-116.353
2018-04-02,2,-23.341,0.0,-222.425,365.0,130.0,-216.083,0.0,-79.833
2018-04-02,3,285.127,0.917,-51.284,432.392,130.0,-190.0,0.0,-36.898
2018-04-02,4,797.747,0.0,0.0,724.75,130.0,-188.5,0.0,131.497
2018-04-02,5,813.993,0.0,0.0,691.733,130.0,-186.5,0.0,178.76
2018-04-02,6,534.512,0.0,-14.067,598.008,82.0,-186.5,0.0,55.071
2018-04-02,7,444.675,0.0,-33.0,446.091,0.0,-178.5,0.0,210.084
2018-04-02,8,279.332,0.0,-42.083,226.483,0.0,-177.73,0.0,272.662
2018-04-02,9,137.357,25.333,-44.0,76.066,0.0,-169.35,0.0,249.308
2018-04-02,10,69.084,85.583,-4.033,0.0,0.0,-151.708,0.0,139.242
2018-04-02,11,124.766,170.25,0.0,0.0,0.0,-150.0,0.0,104.516
2018-04-02,12,-65.243,123.443,-20.198,4.317,0.0,-184.667,0.0,11.862
2018-04-02,13,-72.747,62.635,-0.475,5.2,0.0,-161.5,0.0,21.393
2018-04-02,14,-361.805,40.35,-90.747,117.709,0.0,-100.0,0.0,-329.117
2018-04-02,15,-810.452,13.819,-238.124,246.184,0.0,-66.5,0.0,-765.831
2018-04-02,16,-714.176,0.0,-342.167,328.349,0.0,-64.167,0.0,-636.191
2018-04-02,17,-406.142,0.0,-395.066,276.692,0.0,-66.5,0.0,-221.268
2018-04-02,18,-248.792,5.25,-197.193,155.75,0.0,-25.0,0.0,-187.599
2018-04-02,19,-196.841,25.702,-113.657,69.733,0.0,0.0,0.0,-178.619
2018-04-02,20,56.667,0.0,-74.668,125.0,0.0,0.0,0.0,6.335
2018-04-02,21,415.396,183.667,0.0,147.6,0.0,0.0,0.0,84.129
2018-04-02,22,456.429,188.137,0.0,139.0,0.0,0.0,0.0,129.292
2018-04-02,23,361.185,104.992,0.0,211.885,0.0,0.0,0.0,44.308
2018-04-02,24,424.703,104.404,-30.833,327.843,0.0,0.0,0.0,23.289
2018-04-02,25,503.84,81.275,-17.375,392.691,0.0,0.0,0.0,47.249
2018-04-02,26,478.047,149.757,-5.374,279.683,0.0,0.0,0.0,53.981
2018-04-02,27,512.046,44.742,0.0,264.0,0.0,0.0,0.0,203.304
2018-04-02,28,426.795,37.814,0.0,328.85,0.0,0.0,0.0,60.131
2018-04-02,29,671.535,42.485,0.0,387.583,0.0,0.0,0.0,241.467
2018-04-02,30,548.557,44.908,0.0,254.334,0.0,0.0,0.0,249.315
2018-04-02,31,449.837,13.272,-0.55,287.6,0.0,0.0,0.0,149.515
2018-04-02,32,357.605,3.0,0.0,225.493,0.0,0.0,0.0,129.112
2018-04-02,33,304.954,14.25,0.0,231.582,0.0,0.0,0.0,59.122
2018-04-02,34,385.223,52.667,0.0,314.231,0.0,0.0,0.0,18.325
2018-04-02,35,10.844,36.814,-7.2,87.5,0.0,0.0,0.0,-106.27
2018-04-02,36,-40.291,0.0,-44.666,76.233,0.0,0.0,0.0,-71.858
2018-04-02,37,9.409,0.0,-40.508,121.1,0.0,0.0,0.0,-71.183
2018-04-02,38,-37.516,0.0,-59.367,119.608,0.0,0.0,0.0,-97.757
2018-04-02,39,-155.101,0.0,-119.422,119.25,0.0,0.0,0.0,-154.929
2018-04-02,40,-17.061,8.667,-77.661,138.7,0.0,0.0,0.0,-86.767
2018-04-02,41,11.87,16.667,-49.307,132.933,0.0,0.0,0.0,-88.423
