SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Negative Reserve,Constraints,Other
01/04/2020,1,16191.763,0,123.531,0,22610.644,-33.918
01/04/2020,2,5749.173,0,1518.120547,0,23079.66943,65.17702598
01/04/2020,3,6901.504,29.68298908,1239.880106,0,23220.93591,1117.311
01/04/2020,4,15167.89,78.30412739,2229.234771,0,27644.67852,736.2185842
01/04/2020,5,15313.772,0,2252.473244,265.165,29317.00612,394.802634
01/04/2020,6,12393.054,1758.45,184.981,0,25469.184,4.495
01/04/2020,7,9447.864,1758.45,83.733,0,24973.063,0
01/04/2020,8,8179.686,1853.824,61.471,0,27335.881,6.594
01/04/2020,9,7774.996,1750.006129,28.62112746,84.999,28017.4603,34.68044269
01/04/2020,10,84.257,1777.620857,891.7635781,173.195,29249.75177,215.3857994
01/04/2020,11,4249.503,1755.193938,212.4681747,0,28329.69993,1.40895783
01/04/2020,12,3352.407,1972.478828,1432.848199,130.647,30681.67943,174.668543
01/04/2020,13,-1371.033,2324.601,0,123.896,31660.103,6075.258
01/04/2020,14,-2830.764,880.1877686,2656.08,-0.51140888,35192.26867,2249.549967
01/04/2020,15,-2821.865,1816.667,2843.1,2.943,33122.611,1186.174
01/04/2020,16,630.608,6209.976,2778.343331,50.415,28612.867,44.52566913
01/04/2020,17,11017.153,91.131,1571.388,0,27799.034,0
01/04/2020,18,10772.927,369.5135056,137.8767849,0,30695.535,15.02270954
01/04/2020,19,12604.405,261.7286281,1117.490154,0,35107.823,390.7552178
01/04/2020,20,7955.85,207.7474278,1152.342525,0,30967.383,46.56104729
01/04/2020,21,4605.426,0,1060.217,0,29271.452,0
01/04/2020,22,-1272.291,164.968,952.2,127.585,31401.42,2473.729
01/04/2020,23,-1549.726,0,1937.7,0,34058.582,1365.895
01/04/2020,24,-1805.74,785.6893853,2183.828,0,33113.46373,951.7928833
01/04/2020,25,7288.16,528.6210135,1341.155247,0,33250.038,1948.594739
01/04/2020,26,10666.76,101.8670206,1020.718521,860.285,31850.48,1652.668458
01/04/2020,27,15988.136,0,468.0446962,850.425,31141.339,2378.068304
01/04/2020,28,15813.183,0,301.9422016,858.5,33311.41,904.7867984
01/04/2020,29,11594.209,0,286.625,857.82,32834.17,569.402
01/04/2020,30,14949.8,3.532,239.5,667.176,32930.29,0
01/04/2020,31,14556.6,25.904,184.954,0,32564.537,0.09
01/04/2020,32,8334.065,0,187.6812315,0,42562.321,19.64876845
01/04/2020,33,2795.119,233.5519441,1415.948955,0,74542.816,155.0241007
01/04/2020,34,11109.548,88.26692295,556.071729,0,78665.028,507.5043481
01/04/2020,35,12229.016,32.341,546.56,0,75208.324,2300.951
01/04/2020,36,24946.098,30.62395869,653.4032114,0,67056.882,2928.17683
01/04/2020,37,22198.949,27.83500425,5360.44794,0,61065.03,1038.469055
01/04/2020,38,13375.069,0,3334.391418,0,64848.047,855.7155819
01/04/2020,39,5842.3,37.212,6850.052615,0,60026.55804,597.1053457
01/04/2020,40,12144.268,719.9808279,4317.557343,0,46678.72594,220.7638847
01/04/2020,41,21494.148,82.14670289,1935.320534,0,39983.87234,169.0604209
01/04/2020,42,6973.864,0,1523.051998,195.566,29471.60503,1337.111977
01/04/2020,43,10505.848,75.0069168,390.9531284,0,27724.1633,2226.236652
01/04/2020,44,1027.93,212.5588801,361.9556468,28.69,25393.8111,109.9193703
01/04/2020,45,1320.512,175.281,602.979,75.485,35962.626,56.648
01/04/2020,46,1895.714,1207.374,4085.353824,368.978,38111.78998,1.108195702
01/04/2020,47,4247.04,722.2034887,4523.384363,66.849,72595.55875,2387.142403
01/04/2020,48,9876.221,249.9160509,2190.31465,224.918,86773.34672,733.0355825
02/04/2020,1,-1304.055,17.98244878,3913.206,0,103184.3996,385.9699498
02/04/2020,2,-2468.318,41.364,6733.845,0,105138.7428,110.5242443
02/04/2020,3,6495.007,869.5890703,1234.971398,89.232,127762.3989,684.1995955
02/04/2020,4,30149.751,2860.767,1785.225,0,150283.341,443.161
02/04/2020,5,24515.538,432.347,2006.484,0,166638.967,171.39
02/04/2020,6,14803.787,141.88,1749.379,0,176873.916,282.75
02/04/2020,7,12260.293,105.399,911.066,159.322,165770.496,412.321
02/04/2020,8,-1363.167,0,3122.486,0,167523.7066,187.8094243
02/04/2020,9,2511.985,48.02203421,1406.447558,0,184315.1507,596.9936744
02/04/2020,10,-2667.32,827.1,5898.638,172.9664894,184226.1061,148.0714311
02/04/2020,11,15534.707,81.574,642.164,0,196098.545,0
02/04/2020,12,3775.31,115.2993703,1463.931845,241.521,176301.7638,0
02/04/2020,13,-2700.146,1422.552,5806.135,0,172663.935,23.069
02/04/2020,14,-2900.4,2514.671,7223.263,0,183794.793,47.936
02/04/2020,15,-4022.636,6423.501,16323.633,0,157972.6014,282.5086014
02/04/2020,16,-3557.399,1332.511,26395.529,0,176571.2823,76.15170294
02/04/2020,17,789.251,1141.217,3149.402,0,195786.794,11318.762
02/04/2020,18,945.056,2013.207688,17382.65116,115.593,164503.573,6476.302148
02/04/2020,19,-777.096,-72.648,-2789.65,0,155640.6687,21463.89928
02/04/2020,20,-2666.295,1103.519,22941.548,0,122301.831,15112.58398
02/04/2020,21,-3317.178,83.808,19485.793,33.30111884,127500.4411,14582.43074
02/04/2020,22,-2475.764,1073.632,18028.169,0,138928.115,318.6809809
02/04/2020,23,-2327.454,974.742,17410.032,0,138866.0508,405.6091505
02/04/2020,24,-1582.921,3262.935,20427.958,0,144408.2161,847.682921
02/04/2020,25,11051.597,429.937,2656.742,0,170869.865,851.307
02/04/2020,26,15245.635,0,2827.638,0,151563.872,2274.142
02/04/2020,27,8493.169,0,4430.316072,0,151323.122,4246.721928
02/04/2020,28,-1328.895,3384.417154,15314.196,0,139109.1287,867.6511703
02/04/2020,29,-1761.112,567.2943457,17526.414,0,125706.2596,647.5910721
02/04/2020,30,-2371.658,0,16784.798,0,122210.5489,305.7390753
02/04/2020,31,-1905.639,625.3,12876.935,0,128087.0249,168.2051245
02/04/2020,32,-1713.197,5.117,10446.445,0,121411.3082,140.004839
02/04/2020,33,-1827.474,0,6334.963,0,104538.4641,31.84293379
02/04/2020,34,730.591,324.419,210.662,0,106471.523,548.965
02/04/2020,35,10118.763,789.593,1126.13,0,104895.946,1403.743
02/04/2020,36,14040.576,471.933,1986.663,0,76693.028,2883.062
02/04/2020,37,23552.109,2691.223,1977.797,0,62815.385,3794.694
02/04/2020,38,19911.078,2040.462,1502.427,0,69279.958,1205.4
02/04/2020,39,16913.715,7.104167325,1234.828234,0,64299.083,1237.262598
02/04/2020,40,23224.615,1.6,1201.29,0,48622.927,1141.641
02/04/2020,41,34468.08,0,1094.066,0,44612.779,4273.475
02/04/2020,42,24902.693,291.0539556,1413.931412,0,37622.13,2698.745633
02/04/2020,43,20838.883,23.58548205,704.4002115,0,37089.11901,1286.705293
02/04/2020,44,27181.615,0,686.8294467,0,35855.97173,251.4208274
02/04/2020,45,29448.723,41.90878847,214.2421157,11.115,35851.24709,0.413001769
02/04/2020,46,19340.822,789.756,160.618,485.418,31486.97,32.086
02/04/2020,47,8425.8,331.2,366.76,0,42155.964,494.943
02/04/2020,48,281.776,39.488,346.266,0,43303.752,52.168
03/04/2020,1,320.386,94.118,482.151,34.759,44326.69,2.83
03/04/2020,2,-2593.179,3949.15,4631.028,50.102,30330.218,137.016
03/04/2020,3,-3482.612,2536.285,4019.185,18.14,29816.297,299.416
03/04/2020,4,817.181,352.4434666,280.623392,75.109,45280.07614,0
03/04/2020,5,1260.77,99.05885231,389.2236643,0,43015.2971,15.11638569
03/04/2020,6,6380.273,6.046714744,239.2136412,0,42640.87015,29.00249572
03/04/2020,7,3817.157,94.0376156,217.6150241,0,43185.40369,52.30266556
03/04/2020,8,2401.649,446.3119967,824.0192344,173.03,44244.18436,224.2514119
03/04/2020,9,-1668.556,7387.130518,4085.702,78.83402044,29870.19687,111.2095949
03/04/2020,10,-1856.291,8583.881,3422.055,0,28161.57216,682.1368433
03/04/2020,11,-2008.904,6330.653,3416.25,23.46550873,22894.79194,555.4945464
03/04/2020,12,-723.819,-1115.365,-845.313,0,35919.628,0
03/04/2020,13,13028.576,1390.612,212.002,0,26865.579,51.264
03/04/2020,14,8808.805,519.9050046,240.5019828,0,26667.52788,70.27212837
03/04/2020,15,384.876,1034.378264,679.6905746,48.54,21648.797,330.0061616
03/04/2020,16,6184.935,1282.511,870.272,188.303,23239.397,740.996
03/04/2020,17,-1445.214,1382.188013,3072.68,0,21881.14947,1354.249522
03/04/2020,18,6976.084,1998.754,3429.394,0,31536.101,1898.59
03/04/2020,19,6661.568,1869.225,2421.209,0,26294.686,3035.743
03/04/2020,20,11835.583,1923.76,2215.854,0,24450.778,1753.759
03/04/2020,21,24372.447,1982.26,1459.585,28.505,15552.506,1479.105
03/04/2020,22,14395.745,1959.26,791.146,523.545,14237.161,647.645
03/04/2020,23,10192.832,1951.94,412.604,232.137,3964.35,0
03/04/2020,24,2188.723,2429.532,3693.867332,517.124,7157.376,1.441668335
03/04/2020,25,-1985.997,788.5639211,1823.427,4.850855685,14039.48751,2066.590718
03/04/2020,26,4479.734,1989.094555,4059.525826,139.364,6984.385,893.448619
03/04/2020,27,-1785.302,1084.356,2242.385,78.795,10845.268,2547.651
03/04/2020,28,-3691.284,211.859,2785.593,4.506,11978.843,1496.053
03/04/2020,29,-5002.695,28.12,2577.745,0,11262.422,1262.901
03/04/2020,30,-6468.608,0,2618.13,0,9946.536,1760.916
03/04/2020,31,-1842.915,0,625.591,0,8462.47,2001.085
03/04/2020,32,-1835.079,469.0595146,1920.11,0,8327.16019,2049.708295
03/04/2020,33,-4704.674,219.2305033,2747.629,0,8825.98741,1562.319086
03/04/2020,34,-2512.181,1272.652,1334.025,0,9578.18,1509.99
03/04/2020,35,-2772.698,635,0,0,8223.549,1162.586
03/04/2020,36,11101.757,1663.754424,1839.578921,0,7354.723,1008.195655
03/04/2020,37,10910.597,920.3094517,3097.21257,0,4399.939,1282.473978
03/04/2020,38,3250.126,104.7780332,8285.89715,0,2465.381,2808.762817
03/04/2020,39,262.766,50.17111933,9509.779024,0,2467.56,329.0188569
03/04/2020,40,4295.434,0,6679.495,0,2655.712,0
03/04/2020,41,11777.757,1139.18,1271.098,0,5553.426,0
03/04/2020,42,-2235.614,325.785,8715.205,18.315,1095.821,2497.58
03/04/2020,43,-2139.532,873.7227532,10630.465,24.69743838,2264.149896,2509.873912
03/04/2020,44,-6218.453,295.112,10299.023,0.123,626.234,1200.431
03/04/2020,45,-4841.17,238.81,9942.21,1.708,2313.287,1583.104
03/04/2020,46,-3543.815,1503.856131,11157.757,0.752968471,5610.745183,2964.133717
03/04/2020,47,208.779,4199.577351,2346.123317,53.568,29420.04198,971.0443545
03/04/2020,48,337.413,7520.908,3195.756128,273.455,35973.90413,7.050738714
04/04/2020,1,-2153.107,918.583,3751.983,59.642,32760.62,3131.137
04/04/2020,2,-2961.768,1020.438,5444.95,18.141,33320.24,2557.533
04/04/2020,3,-4108.869,1076.680483,5766.9,46.5455468,33850.61228,2930.137692
04/04/2020,4,-1037.439,5056.295858,-77.587,0,31154.14414,7521.686003
04/04/2020,5,3655.728,2161.063946,3473.157965,0,37749.54602,214.2130694
04/04/2020,6,7752.732,1351.992748,2820.044456,0,38315.31644,173.1193584
04/04/2020,7,19646.224,2594.38473,2515.334633,0,44988.70987,1011.520767
