SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2021-04-01,1,680.9,19000.347,36757.45947201018,95136.48869558178,563.75,8882.28883240805
2021-04-01,2,-8455.403,15860.539,49686.59,68047.911,0.0,40920.766
2021-04-01,3,-3459.26,12308.327,42211.25,70899.155,0.0,15857.529
2021-04-01,4,-804.435,9453.949,23857.75,73394.18,0.0,5249.39
2021-04-01,5,-1106.09,102.364,31909.75,58360.809,0.0,1271.369
2021-04-01,6,-1334.655,272.832,32725.75,57480.054,0.0,254.031
2021-04-01,7,-1083.201,903.5799382068651,22217.35,69942.90506179314,0.0,0.0
2021-04-01,8,-3031.429,107.58,24641.35,66065.732,8.831,1743.175
2021-04-01,9,-3910.559,4060.006,20427.576,65125.995,79.586,20870.264
2021-04-01,10,-3954.054,-38.629,11410.533,63915.081,0.0,35295.429
2021-04-01,11,-4211.464,3616.804,27975.128,63811.259,0.0,24138.894
2021-04-01,12,-8169.492,10491.91,30085.672,63539.039,8.115,34709.054
2021-04-01,13,-5789.733,8707.677709831021,17231.327,63397.259470606994,2.1640044211717284,29248.60381514081
2021-04-01,14,-8828.049,2655.174,7630.369,47137.307,0.0,10290.196
2021-04-01,15,-4109.262,2431.3504844844433,651.0,36463.980951241036,0.0,1920.8285642745188
2021-04-01,16,5717.854,323.108,2989.077,39306.236,0.0,1750.627
2021-04-01,17,14237.635,935.6169507140769,4461.712152732313,40847.554,0.0,1311.2908965536099
2021-04-01,18,21350.55,3457.151172450366,3460.340572772773,36599.078,0.0,2551.542254776861
2021-04-01,19,-685.162,7287.625812810383,2249.178,33480.02401763027,0.0,1787.8371695593448
2021-04-01,20,7349.953,2641.397,2676.8846237527555,28644.436,0.0,640.5483762472447
2021-04-01,21,7394.254,3491.074,1425.4201335533742,27195.893,0.0,3502.0108664466256
2021-04-01,22,2686.253,3706.694,791.482,26815.779,0.0,3202.951
2021-04-01,23,-2625.903,1571.1136055377856,1440.622,24066.142093706356,0.0,143.071300755859
2021-04-01,24,7129.773,4370.432,533.572,25383.059,0.0,1114.076
2021-04-01,25,19578.104,3822.5602805431977,1150.4815998528743,28600.583,0.0,2166.792119603928
2021-04-01,26,21438.458,5113.387,1353.819,26172.956,0.0,1956.689
2021-04-01,27,34805.853,4327.638,884.606,17475.899,0.0,1029.103
2021-04-01,28,30104.951,3776.351,1161.68,17244.444,0.0,968.997
2021-04-01,29,21271.915,4704.883,1424.262,17913.991,0.0,758.737
2021-04-01,30,21074.069,5843.377,1599.763,18707.533,0.0,285.85
2021-04-01,31,18796.659,6132.67,1746.771,18293.76,0.0,391.358
2021-04-01,32,18964.553,3850.638,1878.743,15940.246,0.0,779.378
2021-04-01,33,11763.797,6372.31,3583.523,13351.841,0.0,1010.489
