SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Negative Reserve,Constraints,Other
01/04/2017,1,-16344.352,1547.211,0,0,22737.955,106.456
01/04/2017,2,-15959.283,2047.106,0,0,22738.19,395.865
01/04/2017,3,-4136.364,5780.480644,0,0,22909.11866,43.56869203
01/04/2017,4,1865.814,7260.858,0,0,23160.25,153.421
01/04/2017,5,6687.6,6359.364,0,0,23195.5,592.129
01/04/2017,6,3066.629,6483.301,0,0,23160.25,736.006
01/04/2017,7,-598.345,5382.654957,0,0,23790.89204,0
01/04/2017,8,-5097.289,2155.892794,0,0,22777.17821,0
01/04/2017,9,-9306.161,799.883,0,0,22705.995,0
01/04/2017,10,-7215.433,853.752,0,0,22718.92,27.189
01/04/2017,11,-13678.909,395.206,0,0,22699.18,79.709
01/04/2017,12,-10130.392,525.696,8149.05,0,16130.382,27.665
01/04/2017,13,-3795.738,4797.061432,3365.717,0,20128.87757,0
01/04/2017,14,5112.218,8091.901561,3533.822517,0,22243.62669,422.1962319
01/04/2017,15,-3915.607,9421.669613,0,0,8840.654465,0.030922121
01/04/2017,16,-1318.46,3822.170501,3025.845,0,6992.479604,181.4128952
01/04/2017,17,-2229.656,3981.561014,2303.755,0,0,1192.033986
01/04/2017,18,-8669.417,1319.177,4174.33,0,0,808.818
01/04/2017,19,-9941.369,750.182,5461.407,0,0,394.691
01/04/2017,20,-9742.577,463.108,5904.554,0,0,335.816
01/04/2017,21,-8876.967,195.036,0,0,0,125.036
01/04/2017,22,-5356.553,104.741,0,0,0,172.739
01/04/2017,23,5622.201,930.9024812,590.0572797,0,0,1721.777239
01/04/2017,24,2645.95,1399.142,0,0,0,86.565
01/04/2017,25,3885.6,1599.765,0,0,0,325.338
01/04/2017,26,-4292.421,1840.7,0,0,0,107.161
01/04/2017,27,-6494.182,141.798,0,0,0,231.176
01/04/2017,28,-16819.85,1267.625,0,0,0,584.037
01/04/2017,29,-18853.407,2770.026904,669.25,0,0,1085.782096
01/04/2017,30,-23345.086,3379.20184,670,0,0,2466.87816
01/04/2017,31,-21934.986,4668.684,304.608,0,0,5396.991
01/04/2017,32,-23830.755,3772.368,21.563,0,0,10375.882
01/04/2017,33,-25511.84,2248.107,0,0,0,14030.594
01/04/2017,34,-20013.91,2559.693,0,0,0,13629.015
01/04/2017,35,-15229.628,2085.013,0,0,0,6634.224
01/04/2017,36,-13722.154,458.446,0,0,0,107.595
01/04/2017,37,-11800.744,365.11,0,0,0,24.979
01/04/2017,38,-10137.972,187.163,0,0,0,162.803
01/04/2017,39,-14908.665,199.132,0,0,0,288.211
01/04/2017,40,-11446.116,241.263,2209.076,0,0,336.485
01/04/2017,41,-3192.821,7435.054,7728.067,0,0,805.8020001
01/04/2017,42,-6936.264,265.828,2567,0,0,107.555
01/04/2017,43,-6405.763,276.227,1072.372,0,0,10.783
01/04/2017,44,-3721.396,206.636,3447.951,0,172.189,181.264
01/04/2017,45,4236.544,3642.38,2446.691646,0,993.7293535,0
01/04/2017,46,-3096.991,442.727,9189.691,0,0,1365.352
01/04/2017,47,-2717.426,1442.739,22867.659,0,5329.3,1200.797
01/04/2017,48,-10075.551,1983.849,0,0,26069.375,1060.295
02/04/2017,1,-14782.878,1425.42,0,0,26692.85,1235.094
02/04/2017,2,-14203.67,2301.675699,0,3.289893603,27062.40372,1371.287684
02/04/2017,3,-9482.807,2368.484267,0,4.453029255,26774.81135,1135.583352
02/04/2017,4,-3592.821,4416.802344,0,5.358073418,26606.37188,1448.115702
02/04/2017,5,-5716.527,2619.684673,0,4.940588165,26691.01206,2652.954681
02/04/2017,6,-10078.096,3379.136965,0,3.85303468,26828.73642,2961.816584
02/04/2017,7,-9736.36,1753.486,0,0,26753.975,3108.372
02/04/2017,8,-9328.918,2478.859,0,0,26713.225,2915.285
02/04/2017,9,-11099.484,1740.656,0,0,26864,2695.439
02/04/2017,10,-13199.956,2452.441,0,0,27524.15,3068.021
02/04/2017,11,-13250.2,2772.2,0,0,27059.6,3524.24
02/04/2017,12,-14283.447,2493.097,0,0,27242.975,3346.715
02/04/2017,13,-12846.607,3068.532,0,0,26561.714,3631.797
02/04/2017,14,-14435.24,3427.245,0,52,23865.2,1948.176
02/04/2017,15,-12698.716,2747.319,0,50.875,5420.8,1644.361
02/04/2017,16,-8914.855,2620.833,4801.5,51.875,1351.563,1016.592
02/04/2017,17,-5764.78,3520.521,4457.85,0,0,1186.745
02/04/2017,18,-8347.21,397.414,3988.958,0,312.458,382.47
02/04/2017,19,-6015.08,2103.821,5290.059,0,576.923,694.825
02/04/2017,20,-5894.329,264.92,3829.1,0,607.81,335.498
02/04/2017,21,-6700.554,334.578,3859.9,0,620.935,99.109
02/04/2017,22,-10829.505,336.083,1466.08,0,621.25,166.75
02/04/2017,23,-14483.342,213.653,0,0,567.525,104.075
02/04/2017,24,-15517.834,158.888,0,0,562.59,44.825
02/04/2017,25,-13668.431,193.325,0,0,2246.368,1.763
02/04/2017,26,-9146.524,1917.676,0,0,2536.725,162.894
02/04/2017,27,-11648.315,198.769,0,0,344.83,118.247
02/04/2017,28,-12217.819,480.7551312,0,0,284.5238931,141.7239757
02/04/2017,29,-12534.17,9.759,0,0,202.838,173.062
02/04/2017,30,-22570.265,495.903,0,0,319.382,834.29
02/04/2017,31,-22638.07,257.214,0,0,401.795,887.235
02/04/2017,32,-21972.273,416.048,0,0,491.76,319.029
02/04/2017,33,-20685.731,491.127,71.021,0,498,128.643
02/04/2017,34,-19809.736,521.541,1546.715,0,611.533,262.344
02/04/2017,35,-14287.479,465.772,1026.913,0,400.395,639.649
02/04/2017,36,-12050.487,546.651,2155.252,0,262.804,246.564
02/04/2017,37,-15508.914,406.754,3965.027,0,231.08,263.77
02/04/2017,38,-11634.472,280.178,3918.2,0,318.698,346.199
02/04/2017,39,-8414.59,401.15,3280.2,0,356.37,1317.055
02/04/2017,40,-2004.17,62.891,3323.379,0,480,1356.527
02/04/2017,41,21034.04,1485.131626,4101.086374,0,0,0
02/04/2017,42,5078.334,0,2837.188,282.736,0,0
02/04/2017,43,3868.359,713.6549671,3727.400033,0,0,-1.00E-36
02/04/2017,44,-5531.732,280.451,1096.855,0,0,384.3
02/04/2017,45,-14135.305,546.045,0,0,0,1021.497
02/04/2017,46,-17172.078,1304.33,0,0,0,823.498
02/04/2017,47,-16364.453,2867.919,15017.739,46.75,4148.45,733.927
02/04/2017,48,-23354.05,4404.273,11510.697,41.875,10101.178,708.355
03/04/2017,1,-15493.948,2995.932,0,0,22611.989,106.061
03/04/2017,2,-16996.301,2026.718,0,0,23343.694,395.363
03/04/2017,3,-16353.537,1241.565,0,0,23385.229,759.35
03/04/2017,4,-13669.164,1033.76,0,0,23119.942,247.634
03/04/2017,5,-15152.009,1402.4,0,0,23249.796,68.348
03/04/2017,6,-12715.566,840.099,0,0,23328.5,242.94
03/04/2017,7,-12572.034,904.278,0,0,23199.738,411.053
03/04/2017,8,-15473.285,624.9,0,0,25231.802,574.212
03/04/2017,9,-15010.166,640.745,0,0,27280.431,193.183
03/04/2017,10,-15183.497,718.025,0,0,31234.718,146.299
03/04/2017,11,-11312.857,7886.942,0,0,30205.179,676.605
03/04/2017,12,-12908.541,1346.494,0,0,25804.705,218.201
03/04/2017,13,-4959.202,1406.625,3659.712,0,19180.344,246.695
03/04/2017,14,-984.742,2018.752,3513.049,0,20127.374,117.565
03/04/2017,15,-768.397,2479.778279,717.861,0,8313.515626,277.5620947
03/04/2017,16,11410.355,2132.34942,1739.383191,0,11638.562,1651.916389
03/04/2017,17,3818.844,2413.077,521.027,0,4426.475,714.814
03/04/2017,18,-4116.355,160.641,0,0,5335.94,13.803
03/04/2017,19,-7006.842,114.365,0,0,5369.56,207.296
03/04/2017,20,-27134.393,406.156,0,0,5378.609,664.99
03/04/2017,21,-25602.832,-32.43288141,0,0,1695.943776,670.6771057
03/04/2017,22,-32037.808,-112.924,0,0,4368.126,984.177
03/04/2017,23,-34844.172,86.038,0,5153.782,5961.997,306.114
03/04/2017,24,-34734.263,329.897,0,0,4273.213,1425.219
03/04/2017,25,-27824.954,-266.831,0,0,5070.594,868.663
03/04/2017,26,-26448.732,516.147,0,0,7821.248,461.999
03/04/2017,27,-28136.047,530.82,0,925.6101614,18344.15508,662.1927581
03/04/2017,28,-30367.633,1333.05,0,570.5759506,26736.24536,1107.536685
03/04/2017,29,-28432.332,0,0,2916.095464,26159.50382,2348.470714
03/04/2017,30,-30354.972,0,0,2510,29675.391,2202.671
03/04/2017,31,-30539.911,954.4175066,0,3263.303807,34770.33506,3134.459623
03/04/2017,32,-16775.594,2673.145,0,7397.525115,39283.99837,2820.071519
03/04/2017,33,-3369.205,665.707,0,0,47392.69927,5166.825735
03/04/2017,34,1224.54,989.8853532,572.989383,0,51921.875,5999.238264
03/04/2017,35,-2358.965,973.3600371,199.925,0,47427.01001,8292.277948
03/04/2017,36,72.99,2345.821746,4414.320736,0,48234.796,5258.815518
03/04/2017,37,6275.34,1984.264252,7148.503952,0,50037.905,7473.234796
03/04/2017,38,2485.17,2550.991113,10333.71131,66.15,52030.969,288.9165762
03/04/2017,39,-4807.924,1623.513,9832.735,995.4,46333.547,11315.758
03/04/2017,40,-1637.93,2622.491,13434.419,0,68025.455,5565.703
03/04/2017,41,882.11,694.3848618,26316.56745,0,72812.177,721.0356918
03/04/2017,42,-9369.745,1659.702,16904.353,0,55523.56,3852.989
03/04/2017,43,-14918.015,2294.826,14531.201,0,47449.824,5970.157
03/04/2017,44,-20505.618,3628.066,15706.515,0,19533.77,2521.528
03/04/2017,45,-24942.047,3239.519,5072.328,0,22903.021,1486.953
03/04/2017,46,-16248.688,3958.796,3014.88,0,21678.374,2859.02
03/04/2017,47,-2577.3,3879.233661,1483.9,0.078674666,44551.27521,1942.331456
03/04/2017,48,-922.215,5825.777571,2643.088,2.914060087,39350.81885,1182.772519
04/04/2017,1,-2311.798,760.4058704,0,0,39609.80422,1466.626906
04/04/2017,2,7735.094,2608.388686,362.0677012,0,38480.27175,293.3978628
04/04/2017,3,6351.037,1682.024173,358.4844907,0,33953.87778,603.5115543
04/04/2017,4,6577.389,708.775,196.8619043,0,33556.49647,187.0426209
04/04/2017,5,1408.017,1393.884501,92.24688156,0,32914.79071,21.13991036
04/04/2017,6,-4271.019,81.754,0,0,32925.579,70.941
04/04/2017,7,-12240.198,64.871,0,0,34312.646,80.13
04/04/2017,8,-13999.094,40.089,0,0,34765.646,77.133
04/04/2017,9,-15136.19,-1.222,0,0,38201.801,71.42
04/04/2017,10,-9234.091,96.312,0,0,38879.229,39.381
04/04/2017,11,-9156.551,159.152,0,0,40068.122,169.021
04/04/2017,12,-7969.952,624.708,0,0,43262.652,190.946
04/04/2017,13,3670.215,2367.3972,2194.637312,0,48363.76697,-80.24948399
04/04/2017,14,-2184.592,7055.846263,2420.775,0,27404.48914,1219.212594
04/04/2017,15,-2875.157,325.4078968,3.649,0,18903.80373,936.1523747
04/04/2017,16,9662.659,8534.967633,4250.043367,0,15504.195,0
04/04/2017,17,-10026.36,174.914,17128.51,0,21936.014,752.766
04/04/2017,18,-11571.473,294.008,16096.629,0,15780.579,33.315
04/04/2017,19,-13967.393,137.57,7464.543,0,15665.355,-44.62
04/04/2017,20,-14894.084,22.942,0,0,15921.54,151.782
04/04/2017,21,-10073.696,9.301,278.304,0,16489.053,785.018
04/04/2017,22,-6952.254,15.377,211.247,0,16201.855,12.16
04/04/2017,23,-708.167,2831.502067,439.685,0,17035.77453,28.12340256
04/04/2017,24,678.506,558.218702,170.592298,0,15703.058,0
04/04/2017,25,-1077.544,1857.977,0,0,13221.692,231.602
04/04/2017,26,-9417.892,651.061,0,0,12093.394,197.629
04/04/2017,27,-17027.314,215.7978859,0,0,13356.12583,322.3732862
04/04/2017,28,-22620.693,221.7766553,0,0,13949.52227,568.2880707
04/04/2017,29,-18822.143,0,0,0,13954.226,-1.305
04/04/2017,30,-14340.358,529.228,0,0,15005.03918,1738.007824
04/04/2017,31,-13052.235,22.31497334,0,6.783499816,15574.92826,1282.565268
04/04/2017,32,-16886.963,138.225,0,0,18350.548,478.884
04/04/2017,33,-24795.538,218.918,0,0,19380.917,1772.138
04/04/2017,34,-19997.821,1129.271,0,2077.2,23205.218,2288.439
04/04/2017,35,-16064.652,0.378,0,0,28438.213,217.276
04/04/2017,36,-11231.765,79.652,0,0,33000.254,30.132
04/04/2017,37,-7434.098,737.984,0,0,34926.617,33.172
04/04/2017,38,-5400.313,12.209,0,0,34748.664,16.303
04/04/2017,39,-8341.205,34.53,199.527,0,37779.732,5.747
04/04/2017,40,-1205.457,2084.644,5877.191,0,41214.676,22.513
04/04/2017,41,9525.785,2425.907,13883.373,0,43122.433,0
04/04/2017,42,-2088.906,30.329,7382.708,0,36863.598,165.638
04/04/2017,43,1441.353,1898.14,3083.967912,0,24625.072,513.3910883
04/04/2017,44,-7964.984,2.194,0,0,17802.882,70.297
04/04/2017,45,-5290.439,151.209658,0,0,18137.3728,1377.722542
04/04/2017,46,-9207.137,255.7412331,0,0,19742.37805,1589.984716
04/04/2017,47,-138.277,663.779,5015.5,0,40743.97,3835.853
04/04/2017,48,-9741.95,68.21572416,2500.1,0,45008.34221,5125.952067
05/04/2017,1,-9094.44,767.9235289,0,0,50775.21501,3202.296461
05/04/2017,2,-14185.407,1051.913465,0,69.55467323,52857.60752,2055.968342
05/04/2017,3,-12338.889,5681.698498,0,0,66841.85441,1614.858091
05/04/2017,4,-11529.507,8618.612052,0,0,74380.18872,1491.333233
05/04/2017,5,-17047.854,3869.875084,0,0,80950.40523,1619.101687
05/04/2017,6,-18562.759,2893.699015,0,0,81293.15203,1601.024954
05/04/2017,7,-15345.158,7749.995568,0,0,72309.05052,1375.258909
05/04/2017,8,-11915.792,4435.955,0,0,69936.98028,1328.311716
05/04/2017,9,-10897.549,3329.325,0,0,65149.04306,1336.289942
05/04/2017,10,-8278.69,10351.139,0,0,62301.47776,1336.381244
05/04/2017,11,-3303.226,4954.442,0,0,61260.10733,1347.509669
05/04/2017,12,6791.353,1339.231526,0,0,69358.97146,712.5000161
05/04/2017,13,-1850.022,5352.3,0,0,61161.36662,1346.766385
05/04/2017,14,-6060.389,2213.455517,0,0,35012.28554,1320.316939
05/04/2017,15,556.323,4041.288084,1609.135053,0,18476.355,2097.771862
05/04/2017,16,-419.879,1531.869542,685.834,0,22177.11477,2217.053689
05/04/2017,17,-6207.366,14.91556294,2.855,0,22038.55602,9.070414637
05/04/2017,18,-10169.104,1364.138,0,0,21286.974,117.775
05/04/2017,19,-19701.567,71.741,0,0,17490.683,64.672
05/04/2017,20,-36903.017,302.894,81.225,0,11705.015,65.997
05/04/2017,21,-38000.843,530.695,567.525,0,11757.015,370.465
05/04/2017,22,-33050.593,17.98919961,0,0,11801.71073,230.2870718
05/04/2017,23,-18682.384,31.84555297,0,0,11490.47615,139.7322989
05/04/2017,24,-38133.297,25.263,0,0,11712.85,833.75
05/04/2017,25,-30954.761,-0.64,1620.45,0,6107.82,1232.799
05/04/2017,26,-38782.339,0.91,0,0,6105.56,989.491
05/04/2017,27,-41422.339,-0.004,0,0,5709.572,299.403
05/04/2017,28,-45153.466,174.498,0,0,6253.941,91.709
05/04/2017,29,-40112.046,1385.113,0,0,6624.595,913.581
05/04/2017,30,-36185.423,570.46,0,0,6231.375,1209.802
05/04/2017,31,-32035.658,2245.342888,0,0,5119.502963,1422.022149
05/04/2017,32,-25738.503,104.15,0,0,5637.521,894.515
05/04/2017,33,-26909.15,802.119,0,0,7278.691,112.834
05/04/2017,34,-23546.649,138.5725409,0,0,5207.533137,766.5003217
05/04/2017,35,-8705.376,2065.438671,0,0,11754.55393,4011.722397
05/04/2017,36,-7040.441,46.684,0,0,16332.868,654.402
05/04/2017,37,-11088.617,896.78,17608.163,0,0,401.987
05/04/2017,38,-3804.015,3265.598663,22350.9,0,0,1707.446337
05/04/2017,39,-6576.562,641.3175967,19021.8,0,0,442.4724033
05/04/2017,40,-874.597,1121.455,306.256,0,19292.23,1284.649
05/04/2017,41,13801.931,9147.875264,5935.648223,0,6949.742,-18.02048719
