SETT_DATE,SETT_PERIOD,Energy Imbalance (MWh),Frequency Control Offers (MWh),Frequency Control Bids (MWh),Positive Reserve (MWh),Constraint Offers (MWh),Constraint Bids (MWh),Negative Reserve (MWh),Other (MWh)
2020-04-01,1,428.127,0.0,0.0,703.963,97.5,-599.7,0.0,226.364
2020-04-01,2,153.516,0.0,0.0,683.5,97.5,-606.0,0.0,-21.484
2020-04-01,3,181.762,4.9,0.0,725.226,97.5,-610.0,0.0,-35.864
2020-04-01,4,399.155,15.3,0.0,833.297,97.5,-651.308,0.0,104.366
2020-04-01,5,402.994,0.0,0.0,813.896,97.5,-677.025,-9.9,178.523
2020-04-01,6,326.133,0.0,-57.0,764.314,97.5,-663.083,0.0,184.402
2020-04-01,7,248.628,0.0,-57.0,648.177,97.5,-649.833,0.0,209.784
2020-04-01,8,215.425,29.598,-57.0,617.2,97.5,-714.166,0.0,242.293
2020-04-01,9,205.416,31.8,-57.0,656.167,97.5,-744.5,-3.15,224.599
2020-04-01,10,2.311,45.167,-57.0,653.5,97.5,-781.084,-6.75,50.978
2020-04-01,11,112.51,30.892,-57.133,764.667,97.5,-718.833,0.0,-4.583
2020-04-01,12,88.782,21.148,-63.52,824.033,97.5,-731.75,-4.858,-53.771
2020-04-01,13,-47.457,0.0,-107.53,828.217,97.5,-606.824,-6.8,-252.02
2020-04-01,14,-248.749,0.0,-177.741,811.833,97.5,-610.851,-2.708,-366.782
2020-04-01,15,-247.315,10.733,-255.477,882.5,0.0,-624.776,-0.9,-259.395
2020-04-01,16,15.108,0.0,-180.457,878.5,0.0,-635.259,-1.5,-46.176
2020-04-01,17,261.628,0.0,-2.603,884.084,0.0,-574.912,0.0,-44.941
2020-04-01,18,255.889,9.392,0.0,900.267,0.0,-652.645,0.0,-1.125
2020-04-01,19,298.966,40.458,0.0,974.389,0.0,-706.956,0.0,-8.925
2020-04-01,20,189.425,27.933,0.0,870.892,0.0,-683.375,0.0,-26.025
2020-04-01,21,109.653,0.0,0.0,801.162,0.0,-664.492,0.0,-27.017
2020-04-01,22,-39.244,0.0,-6.8,763.5,0.0,-689.038,-5.4,-101.506
2020-04-01,23,-72.181,0.0,0.0,758.1,0.0,-729.025,0.0,-101.256
2020-04-01,24,-95.34,16.143,-13.6,706.15,0.0,-729.925,0.0,-74.108
2020-04-01,25,182.204,91.024,0.0,799.117,0.0,-707.15,0.0,-0.787
2020-04-01,26,266.669,22.0,0.0,846.526,0.0,-699.95,-8.5,106.593
2020-04-01,27,411.641,0.0,0.0,828.9,0.0,-702.108,-8.5,293.349
2020-04-01,28,397.416,0.0,0.0,823.5,0.0,-719.451,-8.5,301.867
2020-04-01,29,291.972,0.0,0.0,841.167,0.0,-715.467,-8.5,174.772
2020-04-01,30,373.745,98.442,0.0,857.362,0.0,-712.967,-6.592,137.5
2020-04-01,31,363.915,98.351,0.0,802.605,0.0,-674.541,0.0,137.5
